indicator_id,region,metric_kind,scope,key,old_value,old_at,new_value,new_at,abs_diff,rel_diff_pct
ember-demand-de,de,demand,calendar_year_mean,2020,43.415,n=12,43.415,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2021,44.4517,n=12,44.4517,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2022,43.0642,n=12,43.0642,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2023,40.7442,n=12,40.7442,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2024,40.9633,n=12,40.9633,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2025,40.7275,n=12,40.7275,n=12,0.0,0.0
ember-demand-de,de,demand,period_min,all,37.99,2023-06,37.99,2023-06,0.0,0.0
ember-demand-de,de,demand,period_max,all,54.0,2017-01,54.0,2017-01,0.0,0.0
ember-demand-gb,gb,demand,latest_common_month,2026-06,20.73,,22.42,,1.69,8.152
ember-demand-gb,gb,demand,calendar_year_mean,2015,25.6258,n=12,27.7797,n=12,2.1538,8.405
ember-demand-gb,gb,demand,calendar_year_mean,2016,25.2083,n=12,27.3875,n=12,2.1792,8.645
ember-demand-gb,gb,demand,calendar_year_mean,2017,24.7558,n=12,27.3801,n=12,2.6242,10.601
ember-demand-gb,gb,demand,calendar_year_mean,2018,24.6783,n=12,27.1816,n=12,2.5033,10.144
ember-demand-gb,gb,demand,calendar_year_mean,2019,24.0442,n=12,27.0738,n=12,3.0297,12.6
ember-demand-gb,gb,demand,calendar_year_mean,2020,22.7783,n=12,25.4118,n=12,2.6334,11.561
ember-demand-gb,gb,demand,calendar_year_mean,2021,23.1125,n=12,25.8073,n=12,2.6948,11.66
ember-demand-gb,gb,demand,calendar_year_mean,2022,22.1958,n=12,25.951,n=12,3.7552,16.918
ember-demand-gb,gb,demand,calendar_year_mean,2023,21.79,n=12,24.4958,n=12,2.7058,12.418
ember-demand-gb,gb,demand,calendar_year_mean,2024,22.2083,n=12,24.6077,n=12,2.3994,10.804
ember-demand-gb,gb,demand,calendar_year_mean,2025,22.5525,n=12,25.0128,n=12,2.4603,10.909
ember-demand-gb,gb,demand,period_min,all,19.26,2023-06,21.025,2024-06,1.765,9.164
ember-demand-gb,gb,demand,period_max,all,30.16,2015-01,32.61,2015-01,2.45,8.123
ember-demand-jp,jp,demand,latest_common_month,2026-06,,,67.86,,,
ember-demand-jp,jp,demand,calendar_year_mean,2018,77.8789,n=9,77.8789,n=9,0.0,0.0
